name,count,oib_file
S3A_SR_2_LAN_SI_20170320T004646_20170320T011333_20230410T124547_1606_015_302______LN3_R_NT_005.SEN3,31,IDCSI4_20170320.txt
S3A_SR_2_LAN_SI_20160429T025728_20160429T031131_20230824T134757_0843_003_289______LN3_R_NT_005.SEN3,31,IDCSI4_20160429.txt
S3A_SR_2_LAN_SI_20170403T195814_20170403T201317_20230411T080613_0903_016_128______LN3_R_NT_005.SEN3,31,IDCSI4_20170403.txt
S3A_SR_2_LAN_SI_20180417T024136_20180417T025702_20230502T144806_0926_030_132______LN3_R_NT_005.SEN3,31,IDCSI4_20180416.txt
S3A_SR_2_LAN_SI_20170320T023003_20170320T024527_20230410T122648_0923_015_303______LN3_R_NT_005.SEN3,31,IDCSI4_20170320.txt
S3B_SR_2_LAN_SI_20190423T000352_20190423T002555_20230408T154601_1323_024_273______LN3_R_NT_005.SEN3,31,IDCSI4_20190422.txt
S3A_SR_2_LAN_SI_20160420T051607_20160420T052430_20230822T230754_0503_003_162______LN3_R_NT_005.SEN3,31,IDCSI4_20160420.txt
S3A_SR_2_LAN_SI_20170407T094846_20170407T100826_20230411T130700_1180_016_179______LN3_R_NT_005.SEN3,31,IDCSI4_20170406.txt
S3A_SR_2_LAN_SI_20160421T030513_20160421T031848_20230825T212819_0814_003_175______LN3_R_NT_005.SEN3,30,IDCSI4_20160420.txt
S3A_SR_2_LAN_SI_20170311T030516_20170311T031851_20230410T002258_0815_015_175______LN3_R_NT_005.SEN3,30,IDCSI4_20170310.txt
S3A_SR_2_LAN_SI_20160420T033447_20160420T034444_20230822T230658_0597_003_161______LN3_R_NT_005.SEN3,30,IDCSI4_20160420.txt
S3A_SR_2_LAN_SI_20160421T044955_20160421T045920_20230823T135012_0565_003_176______LN3_R_NT_005.SEN3,30,IDCSI4_20160420.txt
S3A_SR_2_LAN_SI_20190421T232948_20190421T234820_20230530T030411_1112_044_016______LN3_R_NT_005.SEN3,30,IDCSI4_20190422.txt
S3A_SR_2_LAN_SI_20180406T041213_20180406T042213_20230501T231924_0600_029_361______LN3_R_NT_005.SEN3,30,IDCSI4_20180406.txt
S3A_SR_2_LAN_SI_20190419T224204_20190419T225815_20230530T184250_0971_043_372______LN3_R_NT_005.SEN3,30,IDCSI4_20190419.txt
S3A_SR_2_LAN_SI_20190418T212749_20190418T214420_20230529T235231_0991_043_357______LN3_R_NT_005.SEN3,30,IDCSI4_20190419.txt
S3A_SR_2_LAN_SI_20190418T230748_20190418T232452_20230529T225957_1023_043_358______LN3_R_NT_005.SEN3,30,IDCSI4_20190419.txt
S3A_SR_2_LAN_SI_20180407T034541_20180407T035608_20230502T004805_0627_029_375______LN3_R_NT_005.SEN3,30,IDCSI4_20180406.txt
S3A_SR_2_LAN_SI_20160430T023002_20160430T024525_20230824T153153_0923_003_303______LN3_R_NT_005.SEN3,30,IDCSI4_20160429.txt
S3B_SR_2_LAN_SI_20190418T222853_20190418T224449_20230408T225935_0956_024_215______LN3_R_NT_005.SEN3,30,IDCSI4_20190419.txt
